date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:41	1804893/1804893	---M--	200	added ('OK')	image/jpeg	etag:%221e80164-1b8a5d-5cab33e8a77b4%22	http://polygons.space/neptune/source/assets/images/widgets/product1.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/widgets/product1.jpg	(from http://polygons.space/neptune/source/templates/admin1/widgets.html)
19:15:13	3433352/3433352	---M--	200	added ('OK')	image/jpeg	etag:%221e8012b-346388-5cab33c949a0d%22	http://polygons.space/neptune/source/assets/images/cards/card6.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/cards/card6.jpg	(from http://polygons.space/neptune/source/templates/admin1/components-cards.html)
19:15:42	1893388/1893388	---M--	200	added ('OK')	image/jpeg	etag:%221e8015a-1ce40c-5cab33df14c6f%22	http://polygons.space/neptune/source/assets/images/widgets/product3.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/widgets/product3.jpg	(from http://polygons.space/neptune/source/templates/admin1/widgets.html)
19:16:32	1292278/1292278	---M--	200	added ('OK')	image/jpeg	etag:%221e8015d-13b7f6-5cab33e0a337d%22	http://polygons.space/neptune/source/assets/images/widgets/product4.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/widgets/product4.jpg	(from http://polygons.space/neptune/source/templates/admin1/widgets.html)
19:19:50	1438183/1438183	---M--	200	added ('OK')	image/jpeg	etag:%221e8015f-15f1e7-5cab33e26c7f5%22	http://polygons.space/neptune/source/assets/images/widgets/blog3.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/widgets/blog3.jpg	(from http://polygons.space/neptune/source/templates/admin1/widgets.html)
19:19:51	8804/8804	---M--	200	added ('OK')	image/svg+xml	etag:%221e8015b-2264-5cab33ddc2a3b%22	http://polygons.space/neptune/source/assets/images/widgets/speed.svg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/widgets/speed.svg	(from http://polygons.space/neptune/source/templates/admin1/widgets.html)
19:19:54	3066/3066	---M-Z	200	added ('OK')	application/javascript	etag:%221e801d9-bfa-5cab341079a8e-gzip%22	http://polygons.space/neptune/source/assets/js/pages/widgets.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/widgets.js	(from http://polygons.space/neptune/source/templates/admin1/widgets.html)
19:20:00	93586/93586	---M-Z	200	added ('OK')	application/javascript	etag:%221e80191-16d92-5cab33fa65062-gzip%22	http://polygons.space/neptune/source/assets/plugins/input-mask/jquery.inputmask.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/input-mask/jquery.inputmask.min.js	(from http://polygons.space/neptune/source/templates/admin1/forms-input-masks.html)
19:20:01	193/193	---M-Z	200	added ('OK')	application/javascript	etag:%221e801cc-c1-5cab340e99acd-gzip%22	http://polygons.space/neptune/source/assets/js/pages/input-mask.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/input-mask.js	(from http://polygons.space/neptune/source/templates/admin1/forms-input-masks.html)
19:20:03	9846/9846	---M-Z	200	added ('OK')	text/css	etag:%221e80327-2676-5cab345cced74-gzip%22	http://polygons.space/neptune/source/assets/plugins/dropzone/min/dropzone.min.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/dropzone/min/dropzone.min.css	(from http://polygons.space/neptune/source/templates/admin1/forms-file-upload.html)
19:20:08	48149/48149	---M-Z	200	added ('OK')	application/javascript	etag:%221e80329-bc15-5cab345d57129-gzip%22	http://polygons.space/neptune/source/assets/plugins/dropzone/min/dropzone.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/dropzone/min/dropzone.min.js	(from http://polygons.space/neptune/source/templates/admin1/forms-file-upload.html)
